name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claymore,volantian_claymore,Heavy Cruiser,Volantian,flarelauncher_active,20,8000,850,9000,,500,180,1,40,40,30,30,40,1200,FRONT,,260,0.4,1,,,70,200,240,90,6,15,8,125000,5,15,600,0.25,20,14,,,,,,,COMBAT,"VRI_bp, merc",1,0.5,6,10,,1
Shamshir,volantian_shamshir,Battleship,Volantian,displacer,30,11000,1400,22000,,1200,325,0,25,15,5,15,30,2700,FRONT,,360,0.6,0.8,,,350,400,450,500,8,62,8,500000,5,15,720,0.25,50,45,,,,,,,COMBAT,"VRI_bp, merc",1,0.5,8,15,,1
Metatron,volantian_metatron,Bomber Frigate,Volantian,temporalshell,15,2500,250,8000,,500,65,0,120,175,150,50,100,300,FRONT,,300,0.6,0.6,,,5,15,10,15,1,15,10,95000,8,40,120,0.25,15,15,,,,,,,COMBAT,"VRI_bp, merc",1,0.75,2,2,,1
Gauntlet,volantian_gauntlet,Heavy Cruiser,Volantian,highenergyfocus,20,10000,500,15000,,750,165,3,60,40,30,15,20,1500,FRONT,,300,0.4,1.2,,,250,300,150,150,4,38,8,150000,4,12,480,0.25,25,25,,,,,,,COMBAT,"VRI_bp, merc",1,0.5,2,4,,1
Illuminator,volantian_illuminator,Fast Destroyer,Volantian,microburn,18,6000,800,9000,,800,105,0,90,100,60,40,40,450,FRONT,,90,0.4,1,,,50,90,70,70,3,28,9,52500,5,12,420,0.25,15,10,,,,,,,COMBAT,"VRI_bp, merc",1,0.4,2,3,,1
Blameless,volantian_blameless,Battlecruiser,Volantian,microburn,17,10000,1250,10000,,900,195,0,50,35,20,18,18,2250,FRONT,,150,0.45,1,,,150,200,150,150,5,30,8,187500,4,12,540,0.25,20,25,,,,,,,COMBAT,"VRI_bp, merc",1,0.4,2,4,,1
Virtuous,volantian_virtuous,Light Frigate,Volantian,displacer,7,2000,500,2100,,180,50,1,179,200,175,125,350,250,FRONT,,165,0.22,1,,,10,25,25,20,1,20,11,45000,10,20,240,0.25,7,7,,,,,,,COMBAT,"VRI_bp, merc",1,0.5,2,2,,1
Curator,volantian_curator,Frontier Cruiser,Volantian,flarelauncher_active,14,9000,750,12000,14000,700,140,1,60,40,30,20,25,2000,FRONT,,360,0.6,0.7,,,150,450,400,200,2,100,8,140000,3,15,420,0.25,18,18,,,,,,,COMBAT,"VRI_bp, merc",1,0.6,2,3,,1
